,ID,Text,Star,Thumbs Up,sentiment
818,31585,"🤦🏼🤬 I don't know why I'm still trying. I feel like a fool, the donkey hitting the head on the same stone over and over again 🤦🏼🥲 Your browser is okay when it works, but I'm done with those pages getting stuck again and again, nothing works until I force stop the app and reboot it again. Very dissapointing 😔👋",1,51,Positive
822,31589,Fresh,1,0,Positive
833,31600,Nice,2,0,Positive
835,31602,Excellent,1,0,Positive
844,31611,Good,2,0,Positive
860,31627,Good,2,0,Positive
871,31638,Because of the new updates of Google I tried to press the update but it didn't work. So I don't know what is happening to my Google right now.,1,0,Positive
900,36548,Says update available yet have tried several times to do so in the past 2 weeks and been unsuccessful.,1,0,Positive
934,36583,why is there no addon support on mobile. chrome freezes and crashes more then any of my apps.,1,2,Positive
937,36586,Do not like many issues it was ok before but recentlyit just wont work properly I,1,0,Positive
942,36591,Awesome browser stores all the things necessary to make navigation alot faster and easier. Pretty much knows what I'm going to be looking for as soon as i start typing cant recommend it enough. Except its a pain to update because you need to uninstall it but now it's not even letting me do that,2,7,Positive
947,36596,"Page tabs knackered since update. Cant open / close them / switch between them. Seems to happen more after viewing videos in full screen. Have to close Chrome and re-open app, or rotate screen from portrait to landscape and back before they respond again. Gone back to Firefox, unfortunately.",2,0,Positive
975,36624,The app is not updating to the latest version on my phone (Android 10). Please fix up this problem.,1,0,Positive
991,36640,Used 39% of my battery on my pixel 4a after just 3 minutes of use. Consistently uses so much of my battery. Done using it until this is fixed.,1,0,Positive
998,40301,Cool app,1,0,Positive
1030,40333,View source is completely messed up since this last update,1,0,Positive
1064,40367,After new update won't load,1,0,Positive
1072,40376,Good on searching not on updating and installing,1,0,Positive
1075,40379,Works great when you're standing right be router!,2,0,Positive
1091,40395,It does not let you update. Sound and never opens,1,0,Positive
1098,47434,This is good app but Not update please help,1,0,Positive
1113,47451,Nice n fast,1,0,Positive
1123,47460,"I've always been atracted to Crome but now I've just about had it with Crome. You people always cancle a persons download just when it has gone far. Data is not easy to come by this days, you know. And u don't even give free data like Opramini. Too many ads that comsumes data. Crome is stating to look like a fraud app to me. Please fix this before or Crome users will stop using Crome giving that now we have so many browsing apps.",1,0,Positive
1124,47461,Completely freezing chrome has gone to the dogs on android,1,0,Positive
1141,47479,"I love Chrome otherwise, but, it will not update on my phone. After many repeated attempts, again and again, failure.",1,0,Positive
1145,47483,Good,1,0,Positive
1169,47507,Really disappointing to see the recent updates with all the crashes and bugs going off around. Such a shame for a great company like google.,1,0,Positive
1177,47515,Haven't been able to update for weeks now on my s10. Finally was able to update awhile back and now a new update I ve been trying for weeks now won't update again. Gona start using a different browser even alot of sights ive visited especially when trying to make purchases suggest using something g other than chrome.,1,0,Positive
1228,48264,Uninstalled due to too much flickering,2,0,Positive
1244,48279,I can't update this app. I hit update and it doesn't do anything. My phone has been crashing and running slow. I started using Duck Duck Go as my browser and have had better luck.,1,0,Positive
1265,48302,Refuses to update. App doesn't even work right. Wasteful.,1,1,Positive
1270,48307,Continually freezing when I have more than one or 2 tabs open. I need to close Chrome and then restart it. This has happened since last update.,2,0,Positive
1277,48314,"Weird screen-calibration issue since latest update. If I tap near the top of a web page (e.g. Twitter's back button), Chrome acts as though I'd tapped a centimetre higher, and switches to whichever tab was above the spot I tapped. Update: also sometimes the tab bar is completely unresponsive. Previous review (still applies): This business of scrolling to ""Find in page"" results instead of skipping directly makes the function inaccessible for people with visual processing difficulties.",1,0,Positive
1314,57424,Nice,1,0,Positive
1331,57441,"Buggy garbage. Has stupid ""swipe to change tab"" bugs, ruins browsing. On phone, has glitch screens full of pixel noise. Banned from YouTube, so they are SELF-BOYCOTTING to the tune of 65 million commenters/creators banned. GOOGLE CAN'T DIE FAST ENOUGH. FIRE SUSAN WOJACKI & HER TOXIC LEZ SJW CENSORBOT FROM RECODE. Easily outdone by the Cobalt Browser.",1,12,Positive
1332,57442,All free ads pop up,1,0,Positive
1341,57451,This version of chrome is not getting updating Very dissatisfied from the Google Team,1,0,Positive
1374,57484,"Still not allowing updates to this one app on Galaxy S20. Other apps update just fine... Come on Google, seriously? This is your very invasive OS, with your invasive permissions and applications, yet somehow you can't just update your browser program?",1,0,Positive
1408,62100,As far as online ok but Google Chrome has forgotten every password over every device or carrier I Robert Jai kreczmer has created for two years causeing a system eraseing of everything that holds my identity.,2,0,Positive
1414,62108,App was working perfectly and then i just coulndt load it it was just a blank page,2,0,Positive
1417,62111,Good,1,0,Positive
1419,62113,"Recently updated it, and as of yesterday or after midnight maybe...i cant get any google feed story to pop up when it redirects to chrome. Just starting Chrome it will act like its about to load a page and crash, or turn the screen black so you cant see any icons at the top of the screen( unless it's another app with black and white icon) nor the bottom 3 icons.",2,0,Positive
1421,62115,Best app,1,0,Positive
1425,62119,Cannot play instant wins,1,0,Positive
1426,62120,Missing extensions support is big disadvantage of this browser. Use another better browser.,1,0,Positive
1432,62126,"Not working as good , it should be jser friendly",1,0,Positive
1435,62129,Worked great until I updated and now I can't even open it. Way to go! How long until this is fixed and we can search things?,1,0,Positive
1437,62131,Constantly freezes and display a white blank page after being able to load a certain page.,1,0,Positive
1449,62143,I've repeatedly gone to the options to stop seeing news on Wonder Woman 1984 yet I keep being suggested stories about it every time I open a new tab. I just downloaded the DuckDuckGo app and will be using that from now on,1,0,Positive
1451,62145,"I don't know whether the app is high. Almost all the time nothing displays when the app is launched, it just appears dark",1,0,Positive
1457,62151,"I've always been a fan of google and chrome for almost ever but now I'm not so sure. Ever since the update my chrome either won't load, force closes, gives me the unresponsive message, or takes entirely too long to load especially looking up google flights!! Google needs to fix whatever bugs and discrepencies there are ASAP because this is complete Bull****!!",1,0,Positive
1460,62155,For two months it says that Chrome is ready for update. Every time I press the update button nothing happens.,1,0,Positive
1465,62160,Chrome has been wonderful over the years for me but for some reason the app will not update. I cleared out all my cache and storage and it's still not updating. I don't know why !!!!! Can please some one help me!!!!!!!!!!,1,0,Positive
1468,62163,"What is going on with yall? Updates have not worked in a year or better for me ,Google speech is getting worse and worse, and no one seems accountable. Used to be my most Dependable web browser.",1,0,Positive
1487,62183,"Not only do I not have the option to turn off the extremely glitchy group tab feature that google support has no answers for, but I can no longer add tabs to my home screen instead of bookmarking them (sync feature doesn't work so I can't view bookmarks or full history on other devices, support doesn't have answers for that either).",1,0,Positive
1489,62185,I used to use it as my main browser but it tracks everything you do and it's not as secure as other browsers. Now I use Firefox and tor browser,1,0,Positive
1525,68679,Too much tracking,1,0,Positive
1537,68691,Great,1,0,Positive
1563,68717,I don't want my business shared with anyone. I have been violated. I want sharing my information off. Please clear sharing with everyone.,1,0,Positive
1570,68724,"This app will not update. So I'm gonna uninstall and download a better web bro see l tellwser. Let's hope that it does automatic updates, is safe and especially reliable. Google being one of the biggest Tech Giants today, we would at least think that the app would not of been this long without being fixed. Another reason I'm uninstalling is because of the length of time I have gotten linked back to the play store to update the app that simply won't do anything you can not even open the app.",1,0,Positive
1597,69251,^_^ ^_^ <3,2,0,Positive
1598,69252,This app use to be good. Now it will not update. Wish y'all would just leave stuff alone. This is going on 3 MONTHS I have NOT been able to update!! 0 stars if I could go that low. If it gets fixed I'll rate up more stars other than that.. pitiful👎👎👎👎👎,1,0,Positive
1617,69271,Your app is refusing to update.... How does that work exactly?,1,0,Positive
1619,69273,Good,1,0,Positive
1625,69279,Cheap,2,0,Positive
1629,69283,"Got so many problems, you should already know what the problems so i don't need tell you what are the problem",1,0,Positive
1634,69288,super,1,0,Positive
1641,69295,"Before edit(Easy to use best of browsers) After edit(lag, freeze, when scrolling skips. This app turned ...ah ok i will skip the complaints. I cannot be bother. DISAPPOINTING.",2,0,Positive
1674,69328,New Version Update Problem . Can't be Update in my this Andriod Phone . please solve this Problem immediately,1,0,Positive
1691,78724,Nice,1,0,Positive
1699,78732,My Samsung Tab 4 ran the previous version of Chrome just fine. I upgraded because it frequently reminded me to. Now this version frequently crashes on me. There is no option to roll back to the previous version.,1,0,Positive
1704,78738,Is fast secure I love it,1,0,Positive
1706,78740,Not so good also not bad,1,0,Positive
1717,78751,"Chrome had been buggy for months on my Moto G7. Tried to update before and supposedly had latest version. Now I have an alert that there's a new version but every time I click update, Google Play just rolls back to choose uninstall, update options again.",2,0,Positive
1720,78754,I don't like how Chrome opens on its own !,1,0,Positive
1725,78759,Good,1,0,Positive
1728,78762,Honestly if I could give it less I would. Cant even searcg anything after the update,1,0,Positive
1744,78778,"When I try to update this app It doesn't allow me to. Well, I don't think it's my phone's fault. I clean the cache and couldn't uninstall to install back. Is there any way I can update this app?",1,0,Positive
1752,78786,Its constantly showing clean phone after i cleaned it,1,0,Positive
1781,78815,Won't update and can't use it much and it's the only browser I have and use please fix this,1,0,Positive
1788,78822,Trying to update chrome for over a week now and it refuses to update...it is 2 months now still can't update...I've given up and moved to DUCKDUCKGO....MUCH BETTER quick for loading and best for privacy...won't be going back to Google Chrome,1,0,Positive
1811,83265,After latest update 12/7 it keeps crashing. I had to download firefox because if it. Google you suck.,1,0,Positive
1872,83326,Its not responding to my request when I am searching or visiting a link. Please fix this. Thanks.,1,0,Positive
1873,83327,"For last few days update available but i can't update app, when i tap update it's not starts what is the problem happening with this i really don't understand make it fix as soon as possible",2,0,Positive
1894,87037,"Always have to download updates from apkmirror, update from here crashes chrome! Update: Bromite is so much better, comes with ad-blocker too.",1,0,Positive
1926,87071,Fine,1,0,Positive
1944,87090,Very good app but one problem download resume fall problem very big problem,1,0,Positive
1950,87096,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1,0,Positive
1951,87097,Google isn't safe,1,0,Positive
1952,87098,Good,1,0,Positive
1956,87102,Please help me chrome team Google chrome new update is showing in play store when I click on update the app is not updating please help me 🙏🙏🙏,1,0,Positive
1963,87109,"It's not updating to the latest version from the past months. Many user reported about the problem, but no response from Google. Don't know why. But I'm really angry 😠",1,0,Positive
1965,87111,Chrome is not getting update i have click on update button but it get canceled immediately i have tried many times but same is happening. Please fix this!!,1,0,Positive
1987,87133,My google chrome is not updateing Plz kindly check the problem,1,0,Positive
1997,90420,"I too man Can't update my mobile chrome My mobile shows update but when i click on the update option,its start processing but after 2 sec. Its stop What the problem man .. Note- my mobile is brand new POCO X3, so don't tell that the problem is in my mobile.",1,0,Positive
2007,90430,Awaaw you a LITTLE more a Wa AND wwaEaa WA awaaaAa a aW,1,0,Positive
2017,90440,"I've just accessed my apps and games library specifically to see whether I've missed an update; I don't know what's going on but I'm having a lot of issues with this browser - this is new, 3 weeks or so - I was beginning to think I needed a new tablet:- please fix the issues.",1,0,Positive
2019,90442,Best app ever,1,0,Positive
2021,90444,I AM NOT ABLE TO UPDATE GOOGLE CHROME I DON'T KNOW WHY THIS PROBLEM IS OCCURING KINDLY FIX IT PLEASE,1,0,Positive
2023,90446,The app is very working,2,0,Positive
2026,90449,Nice app,2,0,Positive
2032,90456,Not able to update latest version..,1,0,Positive
2038,90462,It says there is an update? But it will NOT UPDATE.... no matter what I do? What's going on Google? I rely on Google Chrome as my #1 Search.... Please get this FIXED!,1,0,Positive
2043,90467,Nice,1,0,Positive
2070,90494,Nit abke to update... Tried more than 100 times Can somebody help,1,0,Positive
2077,90501,better than other apps,2,0,Positive
2089,90513,Good,1,0,Positive
2103,99849,Why can't I update chrome to the latest version in my redmi k20 ? Is it a bug or anything else ? Please fix it .,1,0,Positive
2107,99853,"What the heck happened to Google Chrome???!!! It used to be awesome just two days ago, and now it seems like a trash. I can't update it or download anything by using it. Please fix this early so that it can be useful like it before...",1,0,Positive
2131,99877,Its a fantastic app,2,0,Positive
2159,99905,I cant even update the app on my phone how funny is that. Everytime i hit update it starts and stops instantly. What a Joke.,1,0,Positive
2160,99906,Great,1,0,Positive
2178,99924,He is a good app,1,0,Positive
2185,99931,"Won't run crashes on startup, excellent testing there 🤔",1,0,Positive
2297,107631,Good,1,0,Positive
2318,107652,Since a month I am not been able to update this app. I have tried many times. I don't know what the problem is.,1,0,Positive
2358,107692,There is an update available but it doesn't run.,1,0,Positive
2382,107716,So good,1,0,Positive
2398,112986,"I don't have mobile good enough to use it, means it is not running in my mobile properly so I've given 1star",1,0,Positive
2405,112993,I can't dowload a video it restart again when it's half full,1,0,Positive
2418,113006,Update available but not possible to update. In my mi note 8 pro.,1,0,Positive
2437,113025,Update on my new phone has been installing now for 2 hours and more....,1,0,Positive
2444,113032,This update adds more tracking code from the looks of it. Oh and also limiting software that limits what your able to see on the internet.,1,1,Positive
2454,113042,Good,1,0,Positive
2469,113057,I cannot able to update,2,1,Positive
2485,113073,Always depended on Google chrome for everything and loved using it and only used it and since I've gotten this new phone it will not update and it only works half the time if anybody has any ideas that could help please let me know,2,0,Positive
2487,113075,very very good app,2,0,Positive
2489,113077,It's downloading speed is very low need fix it Neither it's good I have a fastest network but it's not work fast,1,0,Positive
2497,119495,"Used to be a good but it won't update now so it doesn't work properly because it will not update! Even though everytime I open the app it tells me to update but when I click on update it says ""pending"" then stops....?",1,0,Positive
2509,119507,Best app ever,1,0,Positive
2516,119514,"Android System Webview prevents Google chrome from updating. Do something. It first occurred on 10/5 2020, and 1-12-21 today.",1,0,Positive
2575,119573,Works fine but way to many ads pop up,2,0,Positive
2588,119586,Un able to update on phone,1,0,Positive
2590,125672,I can not update latest version of Google Chrome.,1,0,Positive
2599,125681,It was working fine but now it wont let me update and the home button were you go back to the start page is gone,2,0,Positive
2612,125694,"Won't update, cannot get the update to work. Tried on wifi and mobile data nothing worked. Used to be an awesome browser but if I can't update it then security falls below standard and my information is at risk. Fix this asap.",1,0,Positive
2616,125698,Good,1,0,Positive
2624,125706,Google has become a company of silence. I will not support any company that willingly silences anyones voice.,1,0,Positive
2640,125722,Good App,1,0,Positive
2659,125741,"As of today since buying a new phone and it wants me to update it ,but it will not update! Don't want to uninstall and install but it is my only option as of now. 🤨🤔",2,0,Positive
2683,125765,Good,1,0,Positive
2684,125766,Absolute rubbish. It will consume every last available bit of memmory resources on your phone untill it crawls everything down to a standstill and crash. Google seems to think that all devices these days have 32gb ram and 16 core processors dedicated to run google apps,1,0,Positive
2724,128186,New version is not updating,1,0,Positive
2744,128205,"Since the update in December, discover works differently and often not at all: for one, the ""more"" button has disappeared, and refreshing the window doesn't produce new items. Secondly, the menu icon no longer displays a popup menu, but gives me a fixed menu at the bottom of my screen, obscuring much of the screen. Thirdly, any items I flag as 'hide' will show up again if I open a new tab. Only closing chrome and reopening will wipe them. Finally, the number of news items found is vastly less",2,0,Positive
2745,128206,Too much slower . despite updateing not change .pls say something.,1,0,Positive
2758,128219,New update of chrome is not getting downloaded in phone,1,0,Positive
2792,139077,It doesn't play videos on twitter unless it's full screen,2,0,Positive
2826,139113,"I tried many times but I couldn't update chrome. When I tap on update, no response will done.",1,0,Positive
2843,139130,Not been able to update,1,0,Positive
2876,139163,good,1,0,Positive
2880,139167,Nowadays the android version of the app is not getting updated. Don't know what is happening. Update - Again the same thing. Really wanna know what's happening in here. Why can't I update my chrome. Again and again the same problem arises.,1,2,Positive
2976,139964,not bad,2,0,Positive
3007,148169,Why I can't be able to update it...???,1,0,Positive
3017,148179,It won't update no matter how much I try to make it. Even on other devices.,1,0,Positive
3036,148198,I cant update it even i try it from more than a week,1,0,Positive
3046,148208,"The so-called ""update"" is messing up my phone. New tabs and videos don't work! Fix it NOW!",1,0,Positive
3109,156284,The app keeps crashing after opening a new tab,1,0,Positive
3131,156307,Cool,2,0,Positive
3147,156323,Can't wait for government to take you down lol,1,0,Positive
3163,156338,"I dont know what's happening right now but google isn't working at all for me, cant look anything up, the app closes and says that it's not working, so I thought maybe its because I havent updated it in like a million years, so I click the update button and it dosent work, I dont know what ti do right now?",1,0,Positive
3174,156349,This have lot of adult content,2,0,Positive
3188,158426,Good,2,0,Positive
3195,158433,Google is better,1,0,Positive
3227,158465,"There's a notification for update but it seems like it won't let me to do that. Whenever i press update, nothing is happened. I don't think it's the problem on my part since i could update all my other apps just fine.",2,0,Positive
3237,158475,What the hell is up with google ladt couple days . not loading always freezing time to find a new search engine,1,0,Positive
3287,163948,"Straight up won't update. Even has a notification in-app telling me to update, but it refuses to do it. Pixel 3a XL",1,0,Positive
3289,163950,To much spyware,1,0,Positive
3307,163969,"Had a popup first time I tried to use chrome on my new phone uninstalled since could not even get to using, uninstalling",1,0,Positive
3308,163970,Stop recommending articles from publications I will never read. Thanks.,2,0,Positive
3321,163983,I am unable to update my app Kindly help me in this regard,1,0,Positive
3322,163984,"This app doesn't update. Been this way for more than 3 days. It is January 20, 2021 nothing new. Still haven't updated",1,0,Positive
3338,164000,Nice,1,0,Positive
3349,164011,"so happy to say im finally getting rid of google chrome. it was difficult for a long time due to a lack of alternatives but the developers made it very easy to uninstall by making the browser more and more garbage and unusable, much appreciated, thank you <3!",1,0,Positive
3351,164013,I used to love chrome but in the last few updates it's done nothing but get exceptionally worse with glitches and lagging. Now it's barley functional and completely refusing to update along with android web view. It's been over a month now since the bug has surfaced with absolutely no way to correct it. I've contacted support only to receive generic response's and not so much as even an attempt to troubleshoot the issue out side of asking me to do the exact same thing over and over.,2,0,Positive
3376,164038,Better,1,0,Positive
3402,170292,Cool,1,0,Positive
3430,170320,Good,1,0,Positive
3437,170327,Wonderful,1,0,Positive
3448,170338,"I haven't been able to update Chrome in almost a year, after multiple tries. The app constantly freezes. Customer service doesn't exist. This is completely unacceptable and leaves me looking for alternate browsers.",1,0,Positive
3473,170363,I'm not able to update since 2 month approx. After doing whatever you said.... Again i am not able9 to update Chrome. I am following these steps very fairly but only my data is exhausted and no updation is done by chrom.... And showing waiting for network..... Again.. My chrome is not updating properly... It uses data during updating... But showing pending during updating.....after 5 to 6 min using data more.. It got updated,1,0,Positive
3520,177104,Good,1,0,Positive
3525,177109,Super,1,0,Positive
3540,177124,Way not updated my Google chrome I am trying to many time for update but this app not a update,1,0,Positive
3552,177136,Wonderful,1,0,Positive
3553,177137,I cannot update the latest updation..,1,0,Positive
3557,177141,A pretty good app. Thanks for adding the option to change the theme to dark. I don't love the new tab layout :/,2,231,Positive
3579,177163,Hackers destroyed good experience.,2,0,Positive
3581,177165,how to make an amazing time in the world to use this one for a f about the same size,2,0,Positive
3589,181853,Good,1,0,Positive
3590,181854,These last two updates are crashing Twitter (web version) on Android constantly. I'm not running any extensions except Chrome's own data saver.,1,0,Positive
3595,181860,I really disappointed with chrome form last 1 month becoz it is not working good I want to new searcher have any idea any body then give me,1,0,Positive
3597,181862,Nice app i like this app,1,0,Positive
3605,181870,Not going to update from last 1month check this problem first,1,0,Positive
3618,193165,Nice,2,0,Positive
3621,193168,"Google chrome sucks. All of my settings are inoperable, unmanageable and reflect the opposite despite my wishes, sync, or available options. I'M NOT MANAGED I'M NOT ON A POLICY, BUT IT ACTS AS IT IS WITHOUT CONFIRMATION OR DENYING.. FML PLEASE MAKE IT STOP",1,89,Positive
3625,193172,Can't able to update from so long. Always getting error while update. App become slow,2,0,Positive
3629,193176,The app refuses to update. When I try to force update it cancels the update. If I need to start using another browser I will but hopefully this gets fixed soon.,1,0,Positive
3641,193188,It has a virus on it and now it has the virus on my phone. Hopefully this will be fixed fast.,1,0,Positive
3653,193200,Good but updating problem,2,0,Positive
3671,193218,Not bad,1,0,Positive
3715,198389,Won't update on new phones . Galaxy surplus,1,0,Positive
3727,198401,"New ""tab in group"" feature is frustrating, requiring more time/presses to navigate tabs",1,0,Positive
3745,198419,New update lags too much tabs aren't responding quickly every user complains the sam issue.,1,0,Positive
3751,198425,New UI is rubbish,1,1,Positive
3756,198430,I can't download it Though I have tried too much times Why ????,2,0,Positive
3784,198459,Ok,2,0,Positive
3786,198461,Accurate hai,1,0,Positive
3793,198468,Cant open my mail.. my email disappeared and I lost...don't have anymore access to my messages..don't know how it happened..how can I retrieve my original email and Lord messages..????,2,0,Positive
3794,198469,Nice,1,0,Positive
3799,198474,ok,2,0,Positive
3819,208950,Lol Lol,2,0,Positive
3843,208973,Google steals data and now is starting to become the enemy of the County by manipulate data to benefit China and other countries that align against the US. Brave and other secure browsers are better.,1,0,Positive
3850,208980,Will replace 5 stars when you finally fix update issues. I can't update my new phone or even my old one.,2,0,Positive
3866,208997,Not a fan of the new tabs. Change it back please. I don't like the way I have to go though my open tabs,2,0,Positive
3871,209002,"The app always request me to update it...but when I try to update it doesn't update as normal as other applications,please try to solve this issue.",1,0,Positive
3885,209016,Very Heavyweight and battery draining app taking 3.2 GB space. Also this app cannot be moved to the SD card so that some space could have been saved from the phone memory.,1,50,Positive
3889,209020,This is good app but too much bad porn ads coming y they're coming so many another application plz stop the ads,1,0,Positive
3898,209029,"No privacy. Use Brave, Firefox or DuckDuckGo instead.",1,0,Positive
3919,210932,"Been trying to update this fir a month now, but it isn't successful.",1,0,Positive
3930,210943,Not updating even after trying update so many times,1,0,Positive
3945,210958,Nice app,2,0,Positive
3966,210980,Good,2,0,Positive
3976,210990,app keeps crashing and i cant update it. going to look for a better browser,1,0,Positive
4012,229662,New update forces tab groups. Even after disabling them they turn back on. I'm perfectly capable or making my own damn tab decisions I don't need y'all doing it for me.,1,0,Positive
4014,229664,I'm not be able to update my crome browser when there is already showing for update. Every times I want to update it's just crashed,1,0,Positive
4023,229673,Good,1,0,Positive
4044,229694,What the hell is this new update? Completely ruined the app entirely. Fix your stuff. Feels significantly slower than it did than ever before.,1,0,Positive
